# So'z Jangi word-content master (WS-B): word	theme	definition_uz
# Themes: fixed taxonomy in content/taxonomy_uz.txt. Keyed by word so
# content survives tier re-cuts and schedule regeneration.
sumak	Uy-roʻzgʻor	Chaqaloq belanchagiga oʻrnatiladigan naycha moslama.
suman	Tabiat	Oq gulli xushboʻy oʻsimlik.
sumka	Uy-roʻzgʻor	Narsa solib yuriladigan dastali buyum.
summa	Savdo	Pulning umumiy miqdori.
sunna	Din	Paygʻambar yoʻl-yoʻrigʻiga mos amal.
supra	Uy-roʻzgʻor	Xamir yoyish uchun charm dasturxon.
surat	Sanʼat	Biror narsaning chizilgan yoki olingan tasviri.
surgi	Jism	Ichni yumshatuvchi dori.
surma	Kiyim	Koʻzga tortiladigan qora pardoz.
suvchi	Kasb-hunar	Ekinlarga suv taratuvchi kishi.
suvoq	Qurilish	Devorga tekis surtiladigan loy-qorishma qatlami.
suyak	Jism	Skeletni tashkil etuvchi qattiq toʻqima.
suzma	Oshxona	Qatiqning suvi siziltirilgan quyuq mahsuloti.
tabib	Kasb-hunar	Xalq usulida davolovchi shifokor.
taksi	Jamiyat	Haq evaziga yoʻlovchi tashuvchi yengil mashina.
talab	Jamiyat	Qatʼiy soʻralgan narsa yoki ehtiyoj.
taloq	Oila	Nikohning diniy yoʻl bilan bekor qilinishi.
tamba	Uy-roʻzgʻor	Eshikni ichdan bekitadigan yogʻoch qulf.
tamgʻa	Tarix	Mulkka bosiladigan belgi muhri.
tanda	Kiyim	Toʻqishga tortilgan boʻylama iplar.
tanob	Tarix	Yer oʻlchashda ishlatilgan eski birlik.
taqiq	Jamiyat	Man etilganlik holati.
taqvo	Din	Gunohdan saqlanib yashash.
taraf	Tabiat	Yoʻnalish, tomon.
tarif	Savdo	Xizmat uchun belgilangan narx jadvali.
tariq	Oshxona	Mayda sariq donli ekin.
tarix	Ilm	Oʻtmish voqealarini oʻrganuvchi fan.
taroq	Uy-roʻzgʻor	Soch tarash uchun tishli buyum.
tasma	Kiyim	Ensiz uzun bogʻlagich mato.
tavba	Din	Gunohdan qaytib afv soʻrash.
tavof	Din	Muqaddas joyni aylanib chiqish ibodati.
taxta	Qurilish	Yogʻochning yassi tilingan boʻlagi.
tayoq	Asbob	Qoʻlga olib yuriladigan uzun yogʻoch.
teatr	Sanʼat	Sahna asarlari koʻrsatiladigan dargoh.
temir	Qurilish	Eng koʻp ishlatiladigan kulrang metall.
tepki	Jism	Oyoq bilan urilgan zarba.
terak	Tabiat	Tik oʻsadigan baland daraxt.
terim	Kasb-hunar	Hosilni qoʻlda yigʻish ishi.
teshik	Uy-roʻzgʻor	Narsadan oʻtib ketgan ochiq joy.
tezak	Tabiat	Quritilgan mol goʻngi, yoqilgʻi.
tikan	Tabiat	Oʻsimlikdagi sanchiluvchi uchli oʻsimta.
tilak	Tuygʻu	Yaxshilik soʻrab bildirilgan istak.
tilcha	Jism	Tomoq ichidagi kichik osilib turuvchi aʼzo.
tilim	Oshxona	Qovun yoki nonning kesilgan boʻlagi.
tilla	Savdo	Qimmatbaho sariq metall, boylik ramzi.
tillo	Savdo	Sof qimmatbaho sariq maʼdan.
tinim	Tuygʻu	Dam olish, orom topish.
tiqin	Uy-roʻzgʻor	Idish ogʻzini bekituvchi narsa.
tivit	Kiyim	Echkining mayin yumshoq juni.
tiyin	Savdo	Pulning eng mayda birligi.
tizim	Ilm	Oʻzaro bogʻliq qismlarning yaxlit tuzilmasi.
tizma	Tabiat	Ketma-ket choʻzilgan togʻlar qatori.
tizza	Jism	Oyoqning bukiladigan oʻrta boʻgʻimi.
tobut	Din	Marhum solib koʻtariladigan yogʻoch qutisi.
togʻay	Jism	Suyakdan yumshoqroq elastik toʻqima.
toifa	Jamiyat	Bir xil xususiyatli kishilar guruhi.
tokcha	Uy-roʻzgʻor	Devorga oʻyilgan narsa qoʻyish joyi.
tomchi	Tabiat	Suyuqlikning mayda yumaloq zarrasi.
tomir	Jism	Qon oqadigan yoʻl; ildiz.
tomon	Tabiat	Yoʻnalish, taraf.
tonna	Ilm	Ming kilogramlik ogʻirlik oʻlchovi.
toqat	Tuygʻu	Qiyinchilikka chidash kuchi.
toshma	Jism	Terida paydo boʻladigan mayda donachalar.
tovon	Jism	Oyoq kaftining orqa qismi.
tovoq	Uy-roʻzgʻor	Taom tortiladigan chuqurroq idish.
tovuq	Hayvonot	Tuxum beruvchi xonaki parranda.
tovus	Hayvonot	Rang-barang dumini yozadigan chiroyli qush.
tovush	Til	Eshitiladigan sado, un.
toʻfon	Tabiat	Hamma yoqni bosgan ulkan suv toshqini.
toʻgʻon	Qurilish	Suvni toʻsib turuvchi inshoot.
toʻlov	Savdo	Berilishi lozim boʻlgan pul majburiyati.
toʻpchi	Tarix	Zambarak otuvchi harbiy.
toʻpiq	Jism	Oyoq boʻgʻimidagi boʻrtiq suyak.
toʻqay	Tabiat	Daryo boʻyidagi qalin butazor.
toʻshak	Uy-roʻzgʻor	Yotish uchun soliladigan yumshoq narsa.
toʻsin	Qurilish	Tom koʻtarib turuvchi yoʻgʻon yogʻoch.
toʻsiq	Qurilish	Oʻtishga xalaqit beruvchi gʻov.
toʻychi	Kasb-hunar	Marosimlarda xizmat qiluvchi sozanda.
tugma	Kiyim	Kiyimni qadaydigan mayda buyum.
tugun	Uy-roʻzgʻor	Ip yoki matoning chatishtirilgan bogʻlami.
tuhfa	Tuygʻu	Qadrli sovgʻa, armugʻon.
tulki	Hayvonot	Ayyorligi bilan mashhur uzun dumli jonivor.
tulum	Uy-roʻzgʻor	Teridan tikilgan suyuqlik idishi.
tuman	Tabiat	Yer bagʻirlagan quyuq bugʻ pardasi.
tumor	Din	Koʻz tegishidan asrovchi taqinchoq.
tumov	Jism	Burun bitib aksa urdiradigan xastalik.
turna	Hayvonot	Uzun oyoqli, tizilib uchadigan qush.
turoq	Sanʼat	Sheʼr vaznidagi ritmik boʻlak.
tushum	Savdo	Kassaga kirib keladigan daromad.
tutak	Sanʼat	Puflab chalinadigan kichik cholgʻu.
tutam	Uy-roʻzgʻor	Bir qoʻlga sigʻadigan dasta miqdor.
tutun	Tabiat	Yonishdan koʻtariladigan kulrang gaz.
tutuq	Til	Ayrim soʻzlarda talaffuz uzilishini bildiruvchi belgi.
tuvak	Uy-roʻzgʻor	Gul oʻtqaziladigan sopol idish.
tuxum	Oshxona	Parranda beradigan poʻstli oziq mahsuloti.
tuygʻu	Tuygʻu	Qalbda kechadigan his.
tuyoq	Hayvonot	Otning oyogʻidagi qattiq shox qatlami.
tuyuq	Sanʼat	Soʻz oʻyiniga qurilgan toʻrtlik sheʼr.
tuzoq	Asbob	Jonivor ilintirish uchun qoʻyiladigan moslama.
tuzum	Jamiyat	Davlat boshqaruvining tartiboti.
uchlik	Ilm	Uch narsadan iborat guruh.
uchqun	Tabiat	Olovdan sachragan mayda choʻgʻ zarrasi.
ufori	Sanʼat	Maqomning raqsbop tezkor qismi.
ulfat	Oila	Davradosh yaqin doʻst.
ummat	Din	Bir paygʻambarga ergashgan jamoa.
undosh	Til	Ovoz va shovqindan hosil boʻluvchi nutq tovushi.
undov	Til	His-hayajonni ifodalovchi soʻz turkumi.
unsur	Ilm	Butunni tashkil etuvchi element.
unvon	Jamiyat	Xizmat darajasini bildiruvchi rasmiy nom.
urchuq	Asbob	Ip yigirishda ishlatiladigan qoʻl moslamasi.
uslub	Sanʼat	Ijodkorga xos ifoda yoʻli.
ustod	Kasb-hunar	Hunar oʻrgatgan murabbiy.
ustoz	Ilm	Bilim beruvchi muallim.
uzlat	Din	Odamlardan chetlanib yolgʻiz yashash.
vafot	Oila	Kishining olamdan oʻtishi.
vagon	Jamiyat	Poyezd tarkibidagi yoʻlovchi yoki yuk boʻlmasi.
vahiy	Din	Paygʻambarga tushgan ilohiy xabar.
vakil	Jamiyat	Birov nomidan ish yurituvchi shaxs.
valiy	Din	Karomat egasi sanalgan azizlardan biri.
vanna	Uy-roʻzgʻor	Choʻmilish uchun katta uzun idish.
varaq	Ilm	Qogʻozning bir beti.
vasiy	Jamiyat	Voyaga yetmagan bolaga qonuniy gʻamxoʻr shaxs.
vassa	Qurilish	Tom bosishda toʻsinlar orasiga terilgan yogʻoch.
vatan	Jamiyat	Kishi tugʻilib oʻsgan ona yurt.
vazir	Jamiyat	Hukumatning yuqori lavozimli aʼzosi.
video	Asbob	Harakatlanuvchi tasvir yozuvi.
visol	Tuygʻu	Sevishganlarning topishuv onlari.
vodiy	Tabiat	Ikki togʻ orasidagi keng pastlik.
voqea	Vaqt	Sodir boʻlgan hodisa.
voris	Oila	Meros oluvchi davomchi.
vujud	Jism	Butun tana, borliq gavda.
xabar	Til	Yetkazilgan yangilik maʼlumoti.
xachir	Hayvonot	Ot bilan eshakdan tugʻilgan chidamli ulov.
xalal	Tuygʻu	Ishga toʻsqinlik qiluvchi zarar.
xalat	Kiyim	Uy yoki ish ustidan kiyiladigan yengil kiyim.
xalfa	Kasb-hunar	Usta qoʻlida ishlovchi yordamchi shogird.
xalta	Uy-roʻzgʻor	Narsa solinadigan mato qopcha.
xamir	Oshxona	Un va suvdan qorilgan yumshoq massa.
xamsa	Sanʼat	Besh dostondan iborat mumtoz asar turkumi.
xanda	Tuygʻu	Ochiq shodon kulish.
xarid	Savdo	Pul berib narsa olish.
xashak	Tabiat	Mol yemi uchun quritilgan oʻt-oʻlan.
xatar	Tuygʻu	Yaqinlashgan xavf-tahdid.
xatib	Din	Juma maʼruzasini oʻquvchi imom.
xatna	Din	Oʻgʻil bolani sunnat qilish marosimi.
xayol	Tuygʻu	Ongda jonlanadigan tasavvur oqimi.
xazon	Tabiat	Kuzda toʻkilgan sargʻaygan barglar.
xiroj	Tarix	Qadimda yer hosilidan olingan soliq.
xirqa	Kiyim	Darveshlar kiyadigan yamoqli toʻn.
xitob	Til	Baland ovozda qilingan murojaat.
xodim	Kasb-hunar	Muassasada ishlovchi kishi.
xohish	Tuygʻu	Ichki istak, moyillik.
xonim	Oila	Ayollarga hurmatli murojaat soʻzi.
xoqon	Tarix	Qadimgi turkiy davlatlar hukmdori.
xorij	Jamiyat	Chet el, oʻzga davlatlar.
xossa	Ilm	Narsaga xos ajralib turuvchi belgi.
xotin	Oila	Turmushga chiqqan ayol.
xoʻroz	Hayvonot	Tongda qichqiruvchi erkak parranda.
xumcha	Uy-roʻzgʻor	Suyuqlik saqlanadigan kichik sopol idish.
xumor	Tuygʻu	Biror narsani qattiq qoʻmsash holati.
xurmo	Oshxona	Issiq oʻlkalarda pishadigan shirin qoʻngʻir meva.
xuruj	Jism	Kasallik yoki holatning avj olishi.
xutba	Din	Namoz oldidan oʻqiladigan vaʼz.
yadro	Ilm	Atomning markaziy ogʻir qismi.
yakan	Tabiat	Boʻyra toʻqiladigan suv boʻyi oʻsimligi.
yakun	Vaqt	Ishning tugallanish nuqtasi, natija.
yalla	Sanʼat	Yengil oʻynoqi xalq qoʻshigʻi.
yamoq	Kiyim	Yirtiq ustiga qoʻyilgan mato parchasi.
yarim	Ilm	Butunning teng ikkidan bir qismi.
yashin	Tabiat	Momaqaldiroqdagi yorqin elektr chaqini.
yechim	Ilm	Masalani hal qiluvchi javob yoʻli.
yelim	Asbob	Narsalarni bir-biriga yopishtiruvchi modda.
yelka	Jism	Boʻyindan qoʻlgacha boʻlgan tana qismi.
yemish	Oshxona	Yeyiladigan narsa, yegulik.
yetim	Oila	Ota yoki onadan ajragan bola.
yigit	Oila	Balogʻatga yetgan yosh erkak.
yigʻim	Savdo	Turli toʻlovlardan toʻplanadigan mablagʻ.
yigʻin	Jamiyat	Kishilarning toʻplangan majlisi.
yilqi	Hayvonot	Uyur boʻlib boqiladigan otlar galasi.
yiring	Jism	Yalligʻlangan jarohatdan chiqadigan suyuqlik.
yogʻdu	Tabiat	Taralayotgan nur shulasi.
yogʻin	Tabiat	Osmondan tushadigan nam: qor yoki jala.
yogʻoch	Qurilish	Daraxtdan olinadigan qattiq material.
yonoq	Jism	Yuzning ikki yon qismi.
yoqut	Tabiat	Qizil rangli qimmatbaho tosh.
yorma	Oshxona	Maydalangan dondan tayyorlanadigan mahsulot.
yotoq	Uy-roʻzgʻor	Uxlash uchun joy.
yozuv	Til	Nutqni belgilar bilan ifodalash tizimi.
yoʻlak	Qurilish	Bino ichidagi tor oʻtish joyi.
yoʻlchi	Kasb-hunar	Asfalt yotqizib taʼmir ishlarini bajaruvchi ishchi.
yoʻlka	Qurilish	Piyodalar yuradigan chekka qism.
yoʻrgʻa	Hayvonot	Tekis va tez yuradigan ot yurishi.
yoʻrma	Kiyim	Chok turlaridan biri bilan tikilgan kashta.
yoʻsin	Tabiat	Nam joyda oʻsadigan mayda yashil oʻsimlik.
yoʻtal	Jism	Tomoq qirilishidan keladigan qattiq nafas turtkisi.
yubka	Kiyim	Ayollarning beldan pastga kiyiladigan kiyimi.
yugan	Asbob	Otning boshiga solinadigan jilovli anjom.
yupqa	Oshxona	Xamirdan juda nozik yoyib pishirilgan taom.
yurak	Jism	Qonni haydab turuvchi asosiy aʼzo.
yutuq	Tuygʻu	Erishilgan muvaffaqiyat.
zafar	Tuygʻu	Kurashda qozonilgan gʻalaba.
zahar	Jism	Organizmni oʻldiruvchi xavfli modda.
zahra	Jism	Oʻt pufagi; qattiq qoʻrquv timsoli.
zakot	Din	Mol-davlatdan beriladigan majburiy sadaqa.
zamin	Tabiat	Yer, tuproq yuzasi.
zamir	Tuygʻu	Gapning ich-ichidagi yashirin maʼnosi.
zamon	Vaqt	Yashab turilgan davr.
zarang	Tabiat	Yogʻochi juda qattiq daraxt.
zarar	Savdo	Yetkazilgan ziyon, yoʻqotish.
zarba	Jism	Kuch bilan urilgan urgʻu.
zarra	Ilm	Moddaning eng kichik boʻlagi.
zavod	Qurilish	Mahsulot ishlab chiqaruvchi yirik korxona.
zigʻir	Tabiat	Moy olinadigan mayda urugʻli ekin.
zirak	Kiyim	Quloqqa taqiladigan bezak buyumi.
ziyon	Savdo	Koʻrilgan zarar, talafot.
zobit	Jamiyat	Qoʻshinning ofitser darajasidagi xizmatchisi.
zovur	Tabiat	Ortiqcha suvni oqizib ketadigan chuqur ariq.
zuluk	Hayvonot	Qon soʻrib davolashda ishlatiladigan suv jonivori.
